City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nanortalik,GL,60.1432,-45.2371,44.94,79,76,10.38,broken clouds
80,Montepuez,MZ,-13.1256,38.9997,78.44,37,90,4.74,overcast clouds
81,Katsina,NG,12.9894,7.6006,91.98,40,23,6.13,few clouds
82,Cabo San Lucas,MX,22.8909,-109.9124,87.51,60,20,4.61,few clouds
83,Kapaa,US,22.0752,-159.319,76.12,89,20,14.97,few clouds
84,Ancud,CL,-41.8697,-73.8203,50.23,79,100,7.94,overcast clouds
85,Linqiong,CN,30.4159,103.4609,77.25,88,98,4.43,overcast clouds
86,Mar Del Plata,AR,-38.0023,-57.5575,51.94,76,75,12.66,broken clouds
87,Sechura,PE,-5.5569,-80.8222,69.28,70,50,6.76,scattered clouds
88,Airai,TL,-8.9266,125.4092,57.61,60,12,2.19,few clouds
89,Coruripe,BR,-10.1256,-36.1756,78.28,73,61,5.26,broken clouds
90,Ucluelet,CA,48.9329,-125.5528,59.09,93,86,7.2,moderate rain
91,Yellowknife,CA,62.456,-114.3525,59.56,82,100,13.0,overcast clouds
92,Caravelas,BR,-17.7125,-39.2481,81.16,51,9,13.89,clear sky
93,Aksha,RU,50.2814,113.2867,54.09,61,3,1.23,clear sky
94,Bandarbeyla,SO,9.4942,50.8122,78.06,81,80,33.11,broken clouds
95,Okhotsk,RU,59.3833,143.3,56.57,94,100,5.37,light rain
96,Chokurdakh,RU,70.6333,147.9167,54.21,69,1,8.55,clear sky
97,Gbarnga,LR,6.9956,-9.4722,80.6,70,100,5.5,light rain
98,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,100,6.91,moderate rain
99,Salmas,IR,38.1973,44.7653,87.48,28,0,7.99,clear sky
100,Pacific Grove,US,36.6177,-121.9166,62.71,88,0,4.0,clear sky
101,Hilo,US,19.7297,-155.09,77.29,99,100,8.05,mist
102,Thiruvarur,IN,10.7667,79.65,83.82,71,100,9.89,overcast clouds
103,Neryungri,RU,56.6709,124.6491,51.8,98,100,5.32,light rain
104,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,64,32,7.23,scattered clouds
105,Karachi,PK,24.9056,67.0822,82.22,89,75,0.0,mist
106,Cidreira,BR,-30.1811,-50.2056,61.74,66,89,13.76,overcast clouds
107,Leua,SK,48.2156,18.6071,83.5,30,57,5.17,broken clouds
108,Mehamn,NO,71.0357,27.8492,64.31,67,40,12.66,scattered clouds
109,Jacmel,HT,18.2342,-72.5347,89.44,60,10,4.79,clear sky
110,Faya,SA,18.3851,42.4509,70.32,74,97,11.14,overcast clouds
111,Bambous Virieux,MU,-20.3428,57.7575,70.21,66,65,22.46,broken clouds
112,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,75,12.66,fog
113,Dingle,PH,10.9995,122.6711,76.26,90,100,2.51,light rain
114,Saint Anthony,US,45.0205,-93.218,77.04,73,0,8.05,clear sky
115,San Cristobal,VE,7.7669,-72.225,77.18,72,100,6.2,overcast clouds
116,Castro,BR,-24.7911,-50.0119,48.67,87,94,12.37,overcast clouds
117,Vardo,NO,70.3705,31.1107,57.18,94,100,10.36,overcast clouds
118,Acapulco,MX,16.8634,-99.8901,80.42,78,100,3.44,overcast clouds
119,Chuy,UY,-33.6971,-53.4616,55.94,63,7,8.77,clear sky
120,Verkhnevilyuysk,RU,63.4453,120.3167,55.62,91,43,4.61,scattered clouds
121,Ahipara,NZ,-35.1667,173.1667,48.87,86,99,6.82,overcast clouds
122,Klaksvik,FO,62.2266,-6.589,54.52,88,100,27.89,overcast clouds
123,Jamestown,US,42.097,-79.2353,73.06,57,100,5.75,overcast clouds
124,Eirunepe,BR,-6.6603,-69.8736,73.45,86,100,5.28,overcast clouds
125,Aklavik,CA,68.2191,-135.0107,43.79,79,83,8.9,broken clouds
126,Labuan,MY,5.2767,115.2417,84.33,69,75,4.7,broken clouds
127,Atar,MR,20.5169,-13.0499,108.05,6,12,21.79,few clouds
128,Saint George,US,37.1041,-113.5841,83.25,60,0,4.61,clear sky
129,Svetlogorsk,BY,52.6333,29.7333,68.23,58,96,8.12,overcast clouds
130,Constitucion,CL,-35.3333,-72.4167,54.41,57,0,6.13,clear sky
131,Port Hardy,CA,50.6996,-127.4199,58.06,89,71,1.66,broken clouds
132,Kerema,PG,-7.9631,145.7785,77.83,89,98,8.81,overcast clouds
133,Kavieng,PG,-2.5744,150.7967,79.45,77,100,1.77,overcast clouds
134,Vanimo,PG,-2.6741,141.3028,77.5,88,98,4.94,overcast clouds
135,Padang,ID,-0.9492,100.3543,78.66,83,58,3.04,broken clouds
136,Yar-Sale,RU,66.8333,70.8333,57.2,59,99,4.94,overcast clouds
137,Taoudenni,ML,22.6783,-3.9836,112.75,11,4,4.18,clear sky
138,Rusape,ZW,-18.5278,32.1284,71.89,24,0,7.36,clear sky
